date,open,high,low,close,volume,ticker
2020-01-02 07:00:00,62.31,63.04,62.31,62.6,238600,VHM
2020-01-03 07:00:00,62.6,62.97,62.38,62.82,394470,VHM
2020-01-06 07:00:00,62.38,62.67,61.05,61.49,1025270,VHM
2020-01-07 07:00:00,61.2,62.53,61.2,61.79,590360,VHM
2020-01-08 07:00:00,61.2,61.57,59.73,60.83,553690,VHM
2020-01-09 07:00:00,61.49,61.72,61.13,61.42,421250,VHM
2020-01-10 07:00:00,61.42,62.6,60.98,62.31,699780,VHM
2020-01-13 07:00:00,62.53,64.0,62.31,63.63,882160,VHM
2020-01-14 07:00:00,63.56,64.0,63.49,63.63,361600,VHM
2020-01-15 07:00:00,63.78,63.78,63.26,63.63,420650,VHM
2020-01-16 07:00:00,63.71,63.71,63.34,63.49,441860,VHM
2020-01-17 07:00:00,63.56,64.81,63.41,63.41,552190,VHM
2020-01-20 07:00:00,63.41,63.71,63.19,63.41,711830,VHM
2020-01-21 07:00:00,63.41,64.52,63.41,64.52,653680,VHM
2020-01-22 07:00:00,64.44,65.99,64.37,65.92,673070,VHM
2020-01-30 07:00:00,64.3,64.74,63.26,64.44,1414000,VHM
2020-01-31 07:00:00,64.52,65.26,64.22,64.52,1284370,VHM
2020-02-03 07:00:00,61.35,63.34,60.46,62.82,755310,VHM
2020-02-04 07:00:00,62.82,63.78,62.67,63.19,829790,VHM
2020-02-05 07:00:00,64.0,64.0,62.97,63.41,2410370,VHM
2020-02-06 07:00:00,64.0,64.15,63.41,64.0,484420,VHM
2020-02-07 07:00:00,64.08,64.74,64.0,64.15,587610,VHM
2020-02-10 07:00:00,63.49,63.93,63.26,63.56,373600,VHM
2020-02-11 07:00:00,63.41,63.71,63.04,63.56,602090,VHM
2020-02-12 07:00:00,63.93,63.93,63.56,63.78,395320,VHM
2020-02-13 07:00:00,63.56,63.71,63.04,63.41,421050,VHM
2020-02-14 07:00:00,63.04,65.33,63.04,64.59,481520,VHM
2020-02-17 07:00:00,64.89,64.89,63.78,63.93,164600,VHM
2020-02-18 07:00:00,63.85,64.15,63.12,63.41,323870,VHM
2020-02-19 07:00:00,63.12,63.78,62.82,63.41,514110,VHM
2020-02-20 07:00:00,63.78,64.37,63.34,64.08,271380,VHM
2020-02-21 07:00:00,63.78,64.08,63.41,63.49,184170,VHM
2020-02-24 07:00:00,61.42,62.75,61.42,61.94,619380,VHM
2020-02-25 07:00:00,60.68,61.79,59.73,61.27,410300,VHM
2020-02-26 07:00:00,61.2,61.2,59.21,59.65,651880,VHM
2020-02-27 07:00:00,58.91,59.73,58.25,59.58,1280250,VHM
2020-02-28 07:00:00,57.88,59.28,57.88,59.28,860760,VHM
2020-03-02 07:00:00,58.32,59.43,58.25,59.36,447980,VHM
2020-03-03 07:00:00,59.36,59.8,59.14,59.36,742520,VHM
2020-03-04 07:00:00,58.32,59.36,58.18,59.36,901070,VHM
2020-03-05 07:00:00,59.06,60.09,59.06,59.73,361110,VHM
2020-03-06 07:00:00,58.99,59.65,58.25,59.65,339740,VHM
2020-03-09 07:00:00,57.96,57.96,55.52,55.52,973190,VHM
2020-03-10 07:00:00,52.35,56.41,52.35,56.41,1050110,VHM
2020-03-11 07:00:00,56.41,56.63,52.5,56.41,932900,VHM
2020-03-12 07:00:00,55.67,55.67,52.5,53.09,1161120,VHM
2020-03-13 07:00:00,49.4,53.09,49.4,53.09,1337180,VHM
2020-03-16 07:00:00,52.35,52.94,49.77,52.94,968810,VHM
2020-03-17 07:00:00,49.77,52.65,49.77,51.54,1095460,VHM
2020-03-18 07:00:00,51.39,51.84,49.77,51.25,1707750,VHM
2020-03-19 07:00:00,49.62,51.1,47.93,50.51,1482170,VHM
2020-03-20 07:00:00,50.51,50.51,47.04,47.04,1351550,VHM
2020-03-23 07:00:00,44.24,45.72,43.8,43.8,198200,VHM
2020-03-24 07:00:00,40.85,43.06,40.78,40.78,2036510,VHM
2020-03-25 07:00:00,42.03,43.58,39.82,43.58,1832290,VHM
2020-03-26 07:00:00,43.58,46.45,42.18,44.98,2020820,VHM
2020-03-27 07:00:00,44.24,45.27,43.13,44.24,710770,VHM
2020-03-30 07:00:00,41.14,42.03,41.14,41.14,929820,VHM
2020-03-31 07:00:00,41.14,42.69,38.34,40.55,661010,VHM
2020-04-01 07:00:00,39.23,42.25,39.23,40.41,553900,VHM
2020-04-03 07:00:00,41.44,42.55,40.7,42.55,940470,VHM
2020-04-06 07:00:00,44.24,45.49,43.21,45.49,534020,VHM
2020-04-07 07:00:00,48.3,48.67,45.79,48.67,902670,VHM
2020-04-08 07:00:00,47.56,51.61,47.19,51.61,950920,VHM
