ticker,title,desc,date_raw,url,source
PLX,"Cổ phiếu PLX tăng trần, dẫn dắt VN30 ngày 19/1 - VnBusiness","Cổ phiếu PLX tăng trần, dẫn dắt VN30 ngày 19/1  VnBusiness","Mon, 19 Jan 2026 08:00:00 GMT",https://news.google.com/rss/articles/CBMiZkFVX3lxTE1ITngxMldzcGo1VTlhRkZQOGhBX2FZdDduUFJuck9Kcl8tUnpUbzhNc2NvQTdmSkN5Q3d3VWdtSXBPdzdWTU1lX2RocDU1SUtNN0JKUWJfanc1eHRxV2pYTWZTN2xhQQ?oc=5&hl=en-US&gl=US&ceid=US:en,VnBusiness
PLX,"Cập nhật cổ phiếu PLX – Q3/2025: KQKD vượt dự báo, tất cả các mảng phục hồi - dautucophieu.net","Cập nhật cổ phiếu PLX – Q3/2025: KQKD vượt dự báo, tất cả các mảng phục hồi  dautucophieu.net","Fri, 21 Nov 2025 08:00:00 GMT",https://news.google.com/rss/articles/CBMingFBVV95cUxOQ0lESkRkajltTWFIZW83VTZ1V2M4dnVKUmdaMlNtLXVkcnJGY3N1Z2NxSjJxV29rN3Bia1BxTmZ2Y1VQR1VnLTNvdFpERlU1T2lxVWFyUEZESHhmNDhqRU44bllzYXlVbDBSUUNram1pdHhsRWZBSmpvUEdNR1JRWmdERHVRMjFJb2MxSF9jSVlrYndBdVh6Zm02WVFYdw?oc=5&hl=en-US&gl=US&ceid=US:en,dautucophieu.net
PLX,"Cổ phiếu Petrolimex (PLX) tăng bốc đầu, nhà đầu tư nín thở chờ quyết định quan trọng - CafeF","Cổ phiếu Petrolimex (PLX) tăng bốc đầu, nhà đầu tư nín thở chờ quyết định quan trọng  CafeF","Mon, 19 Jan 2026 08:00:00 GMT",https://news.google.com/rss/articles/CBMivgFBVV95cUxOblVRbHY1eHFjV2dtUjR4NVZwLW1GVFpSUzJDbUEzQ3JiU3lwUk1iM1lCVHd3b1ZqWVE0RmEtd1pPRU9mM1BmZDdKZ2JBRFQ3RjY1SGlZTzVZMlpnZWs4RlM5bmR3elhRcDZORXJ0UlF2ZTk2RHVrVU9lSkF3QUg3SzN0NWhIYkhLTkdUUTVEa1RSU05mNzgzMWFydnUxQnlESXpEWkY4azducGprTHU3bGN3Unh4RXNPdkdWZkZR?oc=5&hl=en-US&gl=US&ceid=US:en,CafeF
PLX,PLX sắp chi 1.500 tỷ trả cổ tức năm 2024 - VnEconomy,PLX sắp chi 1.500 tỷ trả cổ tức năm 2024  VnEconomy,"Mon, 02 Jun 2025 07:00:00 GMT",https://news.google.com/rss/articles/CBMic0FVX3lxTE5EYkhqWGZTVk9QTExnNUNRN1ZNMWhNUVI1NVlwVUxGODVOYkVkWU1RN2Q1UWVfVEkwRWhDb29hc1BrejNrck5XTWI0ejhocExiZnQwSWhXb3lwaElDM2syQkVEdjh6RmUyOXJaRnp2ZnI0ZlU?oc=5&hl=en-US&gl=US&ceid=US:en,VnEconomy
PLX,Cổ phiếu dầu khí bị bán tháo - Znews,Cổ phiếu dầu khí bị bán tháo  Znews,"Thu, 05 Mar 2026 08:00:00 GMT",https://news.google.com/rss/articles/CBMib0FVX3lxTE1SSTFKaWtyczJrZGFfSGVkM2ZCaEg1UUFrQUZHbmlLbVp2NzRQb3NfcjY3N2FBb1FPMWhZY251MnZ1WUdPN3JPb0tqcmxvUlgwSTl0ZjBSUVRmSGZxQ0tkNGhvNm5UZjkzdWNwTTUzbw?oc=5&hl=en-US&gl=US&ceid=US:en,Znews
PLX,"Cổ phiếu Petrolimex tăng 60% từ đầu năm, em gái cựu TGĐ Đào Nam Hải muốn bán hết - CafeF","Cổ phiếu Petrolimex tăng 60% từ đầu năm, em gái cựu TGĐ Đào Nam Hải muốn bán hết  CafeF","Wed, 21 Jan 2026 08:00:00 GMT",https://news.google.com/rss/articles/CBMiugFBVV95cUxON0NPNUZ1bFBra0JPM25qbzlFNHh2MEpsNk9HVENMQThZd09lcUF6eDlBNFhwN2x5bGdycnBrc0ZWM1EyMThDcGJtelNySlZQbDVRVFh0cnpKeXlvb2FlWllXUzd3aTRHbWJValBvY1RmQ0xRNm9iS2NfNko2YjRyX05EZnNySEduNTVnNUZscnNYU0VPYVMtMU9BX1NpdjNFd1lnZkNvaUZCeXEyU0Z6ZThoUHdZSDJ0aWc?oc=5&hl=en-US&gl=US&ceid=US:en,CafeF
PLX,"Cổ phiếu Petrolimex (PLX) bất ngờ ""có biến"" - CafeF","Cổ phiếu Petrolimex (PLX) bất ngờ ""có biến""  CafeF","Thu, 08 May 2025 07:00:00 GMT",https://news.google.com/rss/articles/CBMihgFBVV95cUxQdndVWVNyTUJLUF9JVXBpMjYxSWgwRmo1OXd1c1NnamNjb0d0TXNVQ1ZkVUgxUWZJU053UEFnUnYyU0Vwc3VkQzFLXzRkeUsxcVVXVEd2VGo5Sm1KTVM4VmNqaUg4dGRFdi14a2tvWTc3X0dDS1RKbFR1YTRmOWpTSXVTckJxdw?oc=5&hl=en-US&gl=US&ceid=US:en,CafeF
PLX,"Sướng như cổ đông Petrolimex (PLX): Vừa nhận 1.500 tỷ đồng cổ tức, vừa “ẵm” thêm hai phiên liên tiếp cổ phiếu tăng trần - CafeF","Sướng như cổ đông Petrolimex (PLX): Vừa nhận 1.500 tỷ đồng cổ tức, vừa “ẵm” thêm hai phiên liên tiếp cổ phiếu tăng trần  CafeF","Mon, 16 Jun 2025 07:00:00 GMT",https://news.google.com/rss/articles/CBMi5wFBVV95cUxNM1Z0SnBEcmdnZV9WZUVVaWItQ2F6TE94b3JGY3hjcGw2SWhjMTRRSjRyNFltNWpMWHJqZF9OT0RMdVQ5YmJURXdkOHdWaUxJaEdZRkJFRy1sRmFDVEhpMHg2YjA5djlVUjh1dWdwV3o2TDBieE9OOHRGS0pjNVQtaV81NHhKN2c3eDd4LVNyOTYtVElpMmpKODh1WW96MEhLX042MlVod2R5Ny1xMGVLRkgtTlJUTklKbV9heVZ0Mkt1ZHlNbnZkX1lhYmJ1OVVXWEFBc0lIa1puNUtZWVBpTktfUnR5eEU?oc=5&hl=en-US&gl=US&ceid=US:en,CafeF
PLX,"Cổ phiếu PLX lên đỉnh 28 tháng, vốn hóa Petrolimex vượt nhiều ngân hàng - CafeF","Cổ phiếu PLX lên đỉnh 28 tháng, vốn hóa Petrolimex vượt nhiều ngân hàng  CafeF","Wed, 14 Aug 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMirAFBVV95cUxNcVVxZkk4dmRacmFRVlJ2aXBycGtDWV9GTDQ5WFJCNGE3S2xxbU5qeWgxRWd3eWQyZHB1d1F3NDRLTk9rY2VET09IU1pudVhfUlNOcWktVmpwdGQzYkxkN1ZyUzNSWmtjM3A2ekswQ0ZEZXlwR3dFbENweV9rbUFJMjdVVFdIeG10bFBuYVo3eWxqQjduZ05lRTFUUmpYMnFvRktXWjN6RTNvTXk4?oc=5&hl=en-US&gl=US&ceid=US:en,CafeF
PLX,"Giá xăng xuống thấp nhất từ đầu năm, cổ phiếu Petrolimex (PLX) và PV Oil (OIL) cùng trôi về đáy - CafeF","Giá xăng xuống thấp nhất từ đầu năm, cổ phiếu Petrolimex (PLX) và PV Oil (OIL) cùng trôi về đáy  CafeF","Tue, 13 Sep 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMixwFBVV95cUxPVURjazVJOUl0dF9TdERfQUwyZ0VTYTZuQWFsZHgxeFlRM1haTEJuWEEya21TTUFCVHN1dnlWLUJlR0YyYTZfVUFhdFBoc3I2cHY5Y0Y4OG5DX0NIVF9jM3k4eXc0OG84Qm04ODgyR1B1cDFkcHNJcGJlOHpVcmM1d28xXzZndTU5MnV4SU91ekNXU1hTdW1VNW9xT3pfbHlFYklpaVZiQmdNaVJFMERqaWxlaFI1SG1nd2FXXzIteVdjLUdoRGFV?oc=5&hl=en-US&gl=US&ceid=US:en,CafeF
